epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2424.48,0.768,0.59942,1.04892,0.92003,0.74166,0.80359,0.50571,1.26427,0.75365,1.34542,0.000230979,0.000230979,0.000230979
43,2481.39,0.75987,0.58965,1.04699,0.89764,0.74899,0.80625,0.49751,1.28112,0.74988,1.35698,0.000219198,0.000219198,0.000219198
44,2537.17,0.74977,0.58576,1.04472,0.90216,0.76228,0.81221,0.51572,1.25973,0.72727,1.33704,0.000207417,0.000207417,0.000207417
45,2593.85,0.7408,0.57849,1.03977,0.88474,0.76007,0.8042,0.50673,1.25451,0.71934,1.3353,0.000195636,0.000195636,0.000195636
46,2650.63,0.7385,0.56774,1.03546,0.88879,0.75023,0.80105,0.51369,1.20283,0.73165,1.3024,0.000183855,0.000183855,0.000183855
47,2707.87,0.73182,0.55727,1.03169,0.8963,0.75996,0.81233,0.51131,1.25356,0.71521,1.34019,0.000172074,0.000172074,0.000172074
48,2763.52,0.72487,0.55311,1.02819,0.90367,0.75157,0.79872,0.52343,1.19316,0.73056,1.29254,0.000160293,0.000160293,0.000160293
49,2823.75,0.71598,0.54676,1.02199,0.90448,0.76442,0.81217,0.51505,1.24034,0.72517,1.32446,0.000148512,0.000148512,0.000148512
50,2880.67,0.71654,0.54367,1.02061,0.89514,0.76139,0.80381,0.5112,1.23845,0.70871,1.33511,0.000136731,0.000136731,0.000136731
51,2938.23,0.72021,0.482,1.01628,0.88975,0.75968,0.80759,0.52564,1.20568,0.69545,1.30477,0.00012495,0.00012495,0.00012495
52,2994.29,0.69701,0.46157,1.0056,0.90409,0.76736,0.81483,0.52614,1.19258,0.69095,1.29837,0.000113169,0.000113169,0.000113169
53,3050.22,0.68695,0.44897,0.99837,0.90317,0.76845,0.81872,0.52616,1.22102,0.68741,1.31238,0.000101388,0.000101388,0.000101388
54,3106.81,0.67372,0.43795,0.99187,0.92073,0.76208,0.82137,0.52698,1.20111,0.68499,1.2974,8.9607e-05,8.9607e-05,8.9607e-05
55,3163.02,0.67558,0.44254,0.99575,0.91377,0.76639,0.81962,0.53021,1.18443,0.67523,1.29163,7.7826e-05,7.7826e-05,7.7826e-05
56,3217.81,0.65834,0.42842,0.98299,0.91236,0.77207,0.81682,0.52761,1.18897,0.6821,1.29555,6.6045e-05,6.6045e-05,6.6045e-05
57,3272.22,0.65565,0.42864,0.98618,0.91006,0.77316,0.81916,0.53001,1.19673,0.68789,1.30807,5.4264e-05,5.4264e-05,5.4264e-05
58,3327.24,0.65081,0.4234,0.97792,0.91845,0.76985,0.81523,0.53559,1.17679,0.67225,1.29535,4.2483e-05,4.2483e-05,4.2483e-05
59,3383.69,0.63958,0.41748,0.97338,0.9143,0.76836,0.81837,0.53831,1.17373,0.66397,1.29147,3.0702e-05,3.0702e-05,3.0702e-05
60,3440.62,0.6328,0.41524,0.97297,0.91488,0.77112,0.81953,0.53466,1.16808,0.67017,1.291,1.8921e-05,1.8921e-05,1.8921e-05
